y (mm),z (mm)
1.5736,-3.99595
1.5991,-0.6378
1.7569,-0.6378
1.3750333333333333,2.5062333333333338
-0.481925,-2.0542499999999997
2.16165,-1.8635
1.8496,-3.3688
2.3709,-3.3419
1.3815499999999998,1.0802
-1.2345,1.066
-1.2465,-1.43215
-0.6784,-0.686
0.74095,1.3813
1.5865,1.4007
0.7017,-3.8381
2.9718,1.7376
1.79065,2.5608
1.7014,1.7595
-0.1273,-1.1397
0.1661,-1.1504
0.0828,-0.5631
2.0831,-1.0541
2.9684,-2.9328
-1.1276,-1.0902
-1.0849,-2.9796
2.88765,1.7152
0.5566,-1.41455
1.0981999999999998,-3.5101
-1.54,1.642
-1.1615,-3.2788
-1.1323,-0.0973
0.61165,2.6055
0.26935,-2.181
0.71445,0.5754
3.6151,-1.3756
3.4808,-1.3706
3.64325,0.8648
1.2098,2.3924
1.2593,0.2402
-1.5106,-0.5903
-1.53515,-3.3853
3.6872,-0.012
1.85765,-0.1616
3.2939,-0.1707
3.2021,0.4575
0.5721,-3.5634
0.3784,-3.5775
3.49195,-0.1558
1.7875999999999999,-3.0236
-1.93715,-3.1654
1.7735499999999997,3.1847499999999997
-1.9151,3.3345
3.6978999999999997,-0.1668
0.3522,1.3434
-1.7403499999999998,1.3683
0.3921,-3.6058
2.8642,-2.4531
2.96825,-0.6264
1.4071500000000001,2.6976
3.4596999999999998,-0.6623
2.1019,-0.069
1.9201666666666666,-0.08033333333333333
1.1858,2.8101
1.2439,3.5614
-1.7902,2.7847
-1.7353999999999998,3.5068
0.94785,-2.9609
-1.7335,-2.974
-0.4991,1.6779
3.02065,1.7478
-1.6884000000000001,0.5965
1.5345,0.1114
1.7093,0.1114
0.13955,-3.3391
2.3577000000000004,-2.26735
2.20525,-2.2861
2.0049,-3.6846
3.3594,0.5423
1.9764,0.5326
3.331533333333334,-0.2578
3.57805,1.3424
0.27975,-3.8651
1.9631,1.2073
2.49185,-1.6616
-1.304,-1.6529
2.3503,-2.2905
-1.7769,1.9023
1.7167,-2.5703
0.6741,-2.5703
1.69815,0.6657500000000001
0.7242,1.0361
0.61145,-1.9186
2.0613,-2.1514
-0.56665,-2.0582
-0.63195,-3.2543499999999996
-1.77,2.9859
-1.75535,-3.4817
-1.3063,-2.2282
-1.54575,2.853
-1.5573,-3.3583
1.3531,3.4465
3.203,-1.6843
0.62205,-3.62905
-2.7398333333333333,2.512
1.1134499999999998,3.4867
0.4827,3.7896
0.55525,-3.7982
1.9042,-0.3019
-1.90625,-3.0135
1.04905,1.4755
0.65325,-3.8938
-0.599,-3.193
-0.70295,1.826
-2.34315,-2.8732499999999996
3.1821,-0.442
2.0848,-2.4936
3.09625,0.3362
3.4006,-0.4746
3.05205,-0.5005
0.82515,-1.8121999999999998
3.23115,1.112
-1.7821,-3.3638
2.0067,-3.3404
2.2195,-3.3399
2.1042,0.5252
3.8152,-2.4007
1.3547500000000001,-2.4118
3.74805,2.63865
1.3613,2.6143
3.790566666666667,0.14126666666666668
1.3606,0.15389999999999998
0.48340000000000005,0.5606
0.9243,-0.1678
2.7638,-3.8407
2.3767,-3.8407
0.56145,-3.8404
0.5594,-2.4728
-2.50085,-2.8837
0.5761,-0.5714
0.7895,-0.0455
-2.6073,2.33985
-1.2404,-1.7521
-1.1311,-1.7521
1.1549,-0.4939
0.4788,-3.73065
1.7624499999999999,3.4605
2.9639,3.5109
2.0521,2.3205
2.4847,2.3205
-1.2138,1.662
0.4518,0.87795
2.88,0.9784
2.2506,-3.31715
2.248,-2.7371
0.5934,0.729
2.3577,-2.5072
-2.8718,2.0576
3.715033333333333,-0.1828
-2.51545,-0.10905
1.8046,2.9757
